Hotel Name,Hotel Address,Hotel Score,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,701



HOTEL CEN,169-0073 도쿄 도 Shinjuku-ku Hyakunincho 1-5-19 일본,8.2,163043,190331,327451,163043,149399,149399,149399,149399,225122,251455,135756,0,149399,149399,149399,225122,259232,135756,149399,149399,208618,192526,137054,279690,713625,129538,251755,262353,762959,196185,268885



MIMARU TOKYO SHINJUKU WEST,160-0023 도쿄 도 Shinjuku-ku Nishi-Shinjuku 3-3-11 일본,8.9,563210,563210,563210,563210,563210,563210,563210,563210,563210,546314,563210,563210,563210,563210,563210,563210,0,563210,563210,563210,141760,0,278421,0,112642,114941,147843,147843,409477,206510,206510



게이오 프라자 호텔 도쿄 프리미어 그랜드 (Keio Plaza Hotel Tokyo Premier Grand),160-8330 도쿄 도 Shinjuku-ku Nishishinjuku 2-2-1 일본,8.9,747699,747699,804490,713625,713625,747699,0,747699,770415,780355,713625,713625,747699,747699,747699,770415,0,713625,713625,747699,138925,138887,409477,199231,105133,128600,220208,201147,131416,206510,210725



APA 호텔 - 히가시신주쿠 가부키초 히가시(APA Hotel - Higashishinjuku Kabukicho Higashi),160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-17-7 일본,7.7,150189,183982,229039,161454,138925,138925,150189,150189,172718,222168,127661,127661,138925,138925,150189,183982,0,127661,127661,138925,192526,166894,617466,246740,378571,239460,291663,336853,233330,208809,281898



E 호텔 히가시 신주쿠(E Hotel Higashi Shinjuku),160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-3-15 일본,7.3,136109,154883,234671,136109,130477,130477,130477,136109,154883,182105,136109,130477,130477,130477,136109,154883,187737,136109,130477,130477,188675,166894,617466,204633,386297,299766,216273,336853,291663,281898,287651



아파 호텔 히가시-신주쿠-에키마에(APA Hotel Higashi-Shinjuku-Ekimae),169-0072 도쿄 도 Shinjuku-ku Okubo 1-1-48 일본,7.7,148312,161454,217775,148312,125784,148312,148312,148312,183982,211241,125784,125784,137048,0,148312,161454,0,125784,125784,137048,226411,993883,271950,311399,220591,220687,125784,220687,139845,140803,143676



Via Inn Shinjuku,160-0022 도쿄 도 5-11-16 Shinjuku Shinjuku-ku 일본,8.2,166044,144018,170280,152489,140629,145712,152489,159267,171127,165171,152489,140629,145712,152489,159267,144018,170280,152489,140629,140629,166894,91991,278421,0,181990,713625,147843,156197,401287,1971993,275858



시타딘스 센트럴 신주쿠 도쿄 (Citadines Central Shinjuku Tokyo),160-0021 도쿄 도 Shinjuku-ku Kabuki-Cho 1-2-9 일본,8.0,194710,194710,305973,166894,166894,166894,166894,176166,194710,305973,166894,166894,166894,166894,166894,231797,250341,166894,166894,166894,153255,208618,262832,204633,546220,374707,134098,423159,306762,336106,504303



프리미어 호텔 캐빈 신주쿠(Premier Hotel Cabin Shinjuku),160-0021 도쿄 도 Shinjuku-ku Kabuki-cho 2-40-3 일본,7.7,123912,138933,0,140003,110770,114529,116408,123912,0,178463,105133,105133,108891,114529,0,137054,178357,105133,105133,108891,294277,423159,343099,329561,153255,423159,137048,0,148312,0,0



Bespoke Hotel Shinjuku,160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-2-17 일본,8.5,262456,296249,494499,237675,248939,237675,237675,237675,318777,435959,248939,203882,248939,248939,248939,318777,366087,226411,226411,226411,199689,91991,157699,276433,273942,181990,159385,255968,269728,431044,211683



HOTEL GROOVE SHINJUKU A PARKROYAL Hotel,160-0021 도쿄 도 1-29-1 Kabukicho Shinjuku 일본,8.7,0,0,0,0,350035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0



Sotetsu Fresa Inn Higashi Shinjuku,160-0022 도쿄 도 Shinjuku-ku Shinjuku 7-27-9 일본,8.2,195246,195246,0,178350,160515,156197,156197,156197,0,272064,156197,156197,156197,156197,175722,175722,236548,156197,0,156197,160252,186518,164749,236008,728189,105133,129538,131416,216273,378477,178350



도큐 스테이 신주쿠(Tokyu Stay Shinjuku),160-0022 도쿄 도 Shinjuku-ku 3-7-1 일본,8.4,303120,283107,237956,229414,246498,253820,205009,263582,283107,0,236736,246498,236736,253820,273345,273345,295310,212330,253820,253820,251529,197124,630068,285437,546220,299766,216273,421067,161971,0,0



호텔 & 스파 제이-멕스 신주쿠 가부키초(성인 전용)(HOTEL & SPA J-MEX Shinjuku Kabukicho (Adult Only)),160-0021 도쿄 도 Shinjyuku-ku Kabukicho 2-5-6 일본,8.7,222609,290429,331121,252529,222609,241758,241758,222609,348275,374589,252529,222609,0,0,241758,290429,306386,274471,0,0,0,316087,202568,280321,76627,187737,89175,191568,993883,141952,1014167



Oakwood Apartments Nishi-Shinjuku,160-0023 도쿄 도 7-18-8 Nishi-Shinjuku Shinjuku-ku 일본,9.0,210265,0,0,0,168212,184733,168212,0,186986,0,184733,168212,0,0,0,186986,186986,168212,0,168212,0,93868,201147,0,163791,281605,239077,0,157699,0,0



헌드레드 스테이 도쿄 신주쿠(Hundred Stay Tokyo Shinjuku),169-0073 도쿄 도 Shinjuku-ku Hyakunin-cho 2-27-7 일본,8.8,330041,0,624225,383546,383546,330041,330041,330041,330041,380599,330041,276536,330041,330041,0,0,0,0,356700,330041,140239,146435,110765,306386,86206,0,993883,0,993883,0,0



HOTEL MYSTAYS Nishi Shinjuku,160-0023 도쿄 도 Nishi Shinjuku 7-14-14 Shinjuku-ku 일본,7.6,164749,181032,217430,151339,151339,151339,151339,151339,205936,277774,151339,151339,151339,151339,169538,181032,253828,151339,169538,153255,246498,162517,137054,331168,246987,133762,374707,159385,401287,498077,206510



HOTEL AMANEK Shinjuku Kabukicho,160-0021 도쿄 도 2-24-10 Kabukicho Shinjuku-ku 일본,8.5,245898,245898,467099,229208,206720,193763,167636,189739,254252,264628,212398,184419,184419,190017,190017,190017,264628,212398,212398,201928,246498,188675,161454,331168,114941,713625,256893,129538,747699,281605,145731



시타딘 신주쿠 도쿄(Citadines Shinjuku Tokyo),160-0022 도쿄 도 Shinjuku-ku Shinjuku 1-28-13  일본,8.6,373941,299766,364669,373941,271950,233330,373941,233330,336853,373941,251874,271950,0,0,251874,336853,336853,186971,299766,271950,300283,423159,993883,373371,421067,116857,330041,128351,363980,630681,331121



JR Kyushu Hotel Blossom Shinjuku (JR Kyushu Hotel Blossom Shinjuku),151-0053 도쿄 도 Shibuya-ku Yoyogi 2-6-2 일본,8.7,394153,306762,378102,329009,0,394153,294277,0,0,698918,363834,282638,0,0,0,0,720534,0,294277,294277,226411,157852,268195,311399,220591,216273,125784,216273,137048,287651,140803



