index,Hotel Name,Date,Day,Hotel Score,Hotel Score Round,Price
2734,HOTEL AMANEK Shinjuku Kabukicho,2023-06-10,토,8.5,8,264628
2735,시타딘 신주쿠 도쿄(Citadines Shinjuku Tokyo),2023-06-10,토,8.6,9,373941
2736,JR Kyushu Hotel Blossom Shinjuku (JR Kyushu Hotel Blossom Shinjuku),2023-06-10,토,8.7,9,698918
2737,Stay SAKURA Tokyo Shinjuku Hyakukura,2023-06-10,토,8.5,8,240378
2738,HOTEL D-WAVE Shinjuku（Adult Only),2023-06-10,토,8.9,9,403544
2739,Book Tea Bed SHINJUKU-GYOEN,2023-06-10,토,7.4,7,273157
2740,Blue Empire Hotel,2023-06-10,토,6.6,7,91991
2741,호텔 페리에(성인 전용)(HOTEL PERRIER (Adult Only)),2023-06-10,토,8.2,8,314677
2742,호텔 안 신주쿠 가부키초 (성인 전용)(HOTEL AN Shinjuku Kabukicho (Adult Only)),2023-06-10,토,8.5,8,284593
2743,니시테츠 인 신주쿠(Nishitetsu Inn Shinjuku),2023-06-10,토,8.3,8,282262
2744,Tokyu Stay Yotsuya,2023-06-10,토,7.9,8,329063
2745,파크 하얏트 도쿄(Park Hyatt Tokyo),2023-06-10,토,9.2,9,1886568
2746,Hotel Balian Resort Higashi Shinjuku (Adult Only),2023-06-10,토,8.1,8,269153
2747,Hotel QUEEN ANNEX,2023-06-10,토,7.8,8,234915
2748,신주쿠 이스트 호텔 (Shinjuku East Hotel),2023-06-10,토,7.0,7,145684
2749,HOTEL LiVEMAX Shinjuku Kabukicho-Meijidori,2023-06-10,토,5.1,5,140858
2750,Keio Presso Inn Shinjuku,2023-06-10,토,7.8,8,195854
2751,HOTEL LiVEMAX Shinjuku EAST,2023-06-10,토,6.2,6,149144
2752,TOKYO E JOY INN（Okubo branch in Shinjuku）,2023-06-10,토,6.7,7,145675
2753,Hotel Yuyukan - Vacation STAY 10008v,2023-06-10,토,6.1,6,141359
2754,Hotel Rose Garden Shinjuku - Vacation STAY 72146v,2023-06-10,토,7.0,7,321988
2755,SHINJUKU WARM HOUSE,2023-06-10,토,8.3,8,281605
2756,HOTEL LiVEMAX Shinjuku Kabukicho,2023-06-10,토,6.3,6,160981
2757,Hotel Koryukaku,2023-06-10,토,5.8,6,172411
2758,SHINJUKU GLOBAL HOTEL,2023-06-10,토,7.6,8,227631
2759,신주쿠 어반 호텔(Shinjuku Urban Hotel),2023-06-10,토,7.6,8,300473
2760,호텔 선라이트 신주쿠(Hotel Sunlite Shinjuku),2023-06-10,토,7.5,8,287749
2761,Hotel Rose Garden Shinjuku - Vacation STAY 72147v,2023-06-10,토,9.7,10,311517
2762,Hotel Keihan Tokyo Yotsuya,2023-06-10,토,8.3,8,233094
2763,GLOU Higashi Shinjuku,2023-06-10,토,8.1,8,234915
2764,호텔 록스(Hotel Rocks),2023-06-10,토,5.5,6,198494
2765,Galois Hotel Shinokubo,2023-06-10,토,8.6,9,227631
2766,오야도 고코치(Oyado Cocochi),2023-06-10,토,7.5,8,136579
2767,Hotel Rose Garden Shinjuku - Vacation STAY 72163v,2023-06-10,토,6.2,6,311517
2768,게이오 프라자 호텔 도쿄 프리미어 그랜드 (Keio Plaza Hotel Tokyo Premier Grand),2023-06-10,토,8.9,9,780355
2769,HOTEL GROOVE SHINJUKU A PARKROYAL Hotel,2023-06-10,토,8.7,9,350035
2770,Kimpton Shinjuku Tokyo an IHG Hotel,2023-06-10,토,8.7,9,890792
2771,호텔 윙 인터내셔널 프리미엄 도쿄 요츠야 (Hotel Wing International Premium Tokyo Yotsuya),2023-06-10,토,8.3,8,200328
2772,게이오 플라자 호텔 도쿄(Keio Plaza Hotel Tokyo),2023-06-10,토,8.4,8,668051
2773,헌드레드 스테이 도쿄 신주쿠(Hundred Stay Tokyo Shinjuku),2023-06-10,토,8.8,9,380599
2774,Hotel Shu,2023-06-10,토,7.1,7,221093
2775,SHINJUKU WARM VILLA I,2023-06-10,토,7.7,8,254036
2776,Pod Select Hotel Shinjuku,2023-06-10,토,6.8,7,236971
2777,Hotel Yuyukan Center of Kabukicho Shinjuku,2023-06-10,토,6.1,6,126985
2778,sequence MIYASHITA PARK - Shibuya,2023-06-11,일,8.3,8,384729
2779,The OneFive Tokyo Shibuya,2023-06-11,일,7.8,8,315961
2780,더 밀레니얼스 시부야(The Millennials Shibuya),2023-06-11,일,8.6,9,315961
2781,시부야 스트림 엑셀 호텔 도큐(Shibuya Stream Excel Hotel Tokyu),2023-06-11,일,8.7,9,249495
2782,all day place shibuya,2023-06-11,일,8.5,8,384729
2783,Hotel Wing International Premium Shibuya,2023-06-11,일,8.0,8,249495
2784,아파 호텔 시부야 도겐자카(APA Hotel Shibuya Dogenzakaue),2023-06-11,일,7.3,7,318233
2785,시부야 호텔 엔(Shibuya Hotel En),2023-06-11,일,7.8,8,170113
2786,Mustard Hotel Shibuya,2023-06-11,일,7.5,8,379305
2787,토큐 스테이 시부야(Tokyu Stay Shibuya),2023-06-11,일,8.2,8,242040
2788,도미 인 프리미엄 시부야-진구마에(Dormy Inn Premium Shibuya-jingumae),2023-06-11,일,8.3,8,246979
2789,사쿠라 플뤠르 아오야마(Sakura Fleur Aoyama),2023-06-11,일,8.0,8,166710
2790,시부야 그랑벨 호텔(Shibuya Granbell Hotel),2023-06-11,일,7.4,7,166710
2791,시부야 엑셀 호텔 도큐(Shibuya Excel Hotel Tokyu),2023-06-11,일,8.4,8,173657
2792,트렁크 (호텔)(TRUNK (HOTEL)),2023-06-11,일,8.8,9,177201
2793,토큐 스테이 시부야 신미나미구치(Tokyu Stay Shibuya Shin-Minamiguchi),2023-06-11,일,7.9,8,216062
2794,시부야 크레스톤 호텔(Shibuya Creston Hotel),2023-06-11,일,8.0,8,293961
2795,Hotel DIAMOND,2023-06-11,일,7.4,7,216062
2796,SALON Shibuya,2023-06-11,일,7.4,7,187737
2797,Tabist Hotel New Washington Shibuya,2023-06-11,일,6.6,7,187737
2798,The Millennials Shibuya / Vacation STAY 80745,2023-06-11,일,8.0,8,384729
2799,The Millennials Shibuya / Vacation STAY 80776,2023-06-11,일,8.2,8,392581
2800,Cerulean Tower Tokyu Hotel  A Pan Pacific Partner Hotel,2023-06-11,일,8.9,9,242040
2801,Hotel Emit Shibuya - Vacation STAY 40892v,2023-06-11,일,7.3,7,191568
2802,Hotel Emit Shibuya - Vacation STAY 40890v,2023-06-11,일,7.4,7,384729
2803,Hotel Emit Shibuya - Vacation STAY 40888v,2023-06-11,일,4.0,4,464553
2804,Hotel Emit Shibuya - Vacation STAY 40894v,2023-06-11,일,7.5,8,173657
2805,신주쿠 그랑벨 호텔(Shinjuku Granbell Hotel),2023-06-11,일,7.8,8,160252
2806,La'gent Hotel Shinjuku Kabukicho,2023-06-11,일,8.4,8,212143
2807,APA Hotel Shinjuku Kabukicho Chuo,2023-06-11,일,7.7,8,128600
2808,호텔 로즈 가든 신주쿠(Hotel Rose Garden Shinjuku),2023-06-11,일,7.9,8,161923
2809,신주쿠 워싱턴 호텔(Shinjuku Washington Hotel),2023-06-11,일,7.1,7,155057
2810,신주쿠 프린스 호텔(Shinjuku Prince Hotel),2023-06-11,일,7.9,8,223061
2811,APA 호텔 신주쿠 교에마에 (APA Hotel Shinjuku Gyoemmae),2023-06-11,일,7.8,8,127661
2812,APA Hotel Higashi Shinjuku Kabukicho Tower,2023-06-11,일,8.0,8,128600
2813,호텔 썬루트 플라자 신주쿠(Hotel Sunroute Plaza Shinjuku),2023-06-11,일,8.3,8,306605
2814,APA 호텔 & 리조트 니시신주쿠-고초메-에키 타워(APA Hotel & Resort Nishishinjuku-Gochome-Eki Tower),2023-06-11,일,8.2,8,103255
2815,더 낫 도쿄 신주쿠(THE KNOT TOKYO Shinjuku),2023-06-11,일,8.4,8,188675
2816,Tokyu Stay Shinjuku Eastside,2023-06-11,일,8.8,9,257359
2817,HOTEL CEN,2023-06-11,일,8.2,8,135756
2818,MIMARU TOKYO SHINJUKU WEST,2023-06-11,일,8.9,9,563210
2819,APA 호텔 - 히가시신주쿠 가부키초 히가시(APA Hotel - Higashishinjuku Kabukicho Higashi),2023-06-11,일,7.7,8,127661
2820,E 호텔 히가시 신주쿠(E Hotel Higashi Shinjuku),2023-06-11,일,7.3,7,136109
2821,아파 호텔 히가시-신주쿠-에키마에(APA Hotel Higashi-Shinjuku-Ekimae),2023-06-11,일,7.7,8,125784
2822,Via Inn Shinjuku,2023-06-11,일,8.2,8,152489
2823,시타딘스 센트럴 신주쿠 도쿄 (Citadines Central Shinjuku Tokyo),2023-06-11,일,8.0,8,166894
2824,프리미어 호텔 캐빈 신주쿠(Premier Hotel Cabin Shinjuku),2023-06-11,일,7.7,8,105133
2825,Bespoke Hotel Shinjuku,2023-06-11,일,8.5,8,248939
2826,호텔 그레이서리 신주쿠(Hotel Gracery Shinjuku),2023-06-11,일,8.3,8,232493
2827,APA 호텔 신주쿠-가부키쵸 타워(APA Hotel Shinjuku-Kabukicho Tower),2023-06-11,일,7.7,8,127661
2828,HOTEL KABUKI,2023-06-11,일,8.9,9,251755
2829,Sotetsu Fresa Inn Higashi Shinjuku,2023-06-11,일,8.2,8,156197
2830,도큐 스테이 신주쿠(Tokyu Stay Shinjuku),2023-06-11,일,8.4,8,236736
2831,호텔 & 스파 제이-멕스 신주쿠 가부키초(성인 전용)(HOTEL & SPA J-MEX Shinjuku Kabukicho (Adult Only)),2023-06-11,일,8.7,9,252529
2832,HOTEL MYSTAYS Nishi Shinjuku,2023-06-11,일,7.6,8,151339
2833,HOTEL AMANEK Shinjuku Kabukicho,2023-06-11,일,8.5,8,212398
2834,시타딘 신주쿠 도쿄(Citadines Shinjuku Tokyo),2023-06-11,일,8.6,9,251874
2835,JR Kyushu Hotel Blossom Shinjuku (JR Kyushu Hotel Blossom Shinjuku),2023-06-11,일,8.7,9,363834
2836,EAST ONE Higashishinjuku,2023-06-11,일,8.6,9,946193
2837,Stay SAKURA Tokyo Shinjuku Hyakukura,2023-06-11,일,8.5,8,187737
2838,HOTEL D-WAVE Shinjuku（Adult Only),2023-06-11,일,8.9,9,370968
2839,Book Tea Bed SHINJUKU-GYOEN,2023-06-11,일,7.4,7,281605
2840,Blue Empire Hotel,2023-06-11,일,6.6,7,91991
2841,호텔 페리에(성인 전용)(HOTEL PERRIER (Adult Only)),2023-06-11,일,8.2,8,246686
2842,호텔 안 신주쿠 가부키초 (성인 전용)(HOTEL AN Shinjuku Kabukicho (Adult Only)),2023-06-11,일,8.5,8,209364
2843,Hotel Matsunoi,2023-06-11,일,8.4,8,148688
2844,아파트 호텔 신주쿠(Apartment Hotel Shinjuku),2023-06-11,일,7.4,7,127074
2845,니시테츠 인 신주쿠(Nishitetsu Inn Shinjuku),2023-06-11,일,8.3,8,234671
2846,Tokyu Stay Yotsuya,2023-06-11,일,7.9,8,217211
2847,호텔 리스텔 신주쿠(Hotel Listel Shinjuku),2023-06-11,일,7.4,7,112642
2848,파크 하얏트 도쿄(Park Hyatt Tokyo),2023-06-11,일,9.2,9,1766613
2849,호텔 빌라 폰테인 도쿄-신주쿠(Hotel Villa Fontaine Tokyo-Shinjuku),2023-06-11,일,7.9,8,127849
2850,신주쿠 시티 호텔 N.U.T.S 도쿄(Shinjuku City Hotel N.U.T.S Tokyo),2023-06-11,일,7.7,8,123906
2851,Hotel Petit Bali Garden Shin-Okubo (Adult Only),2023-06-11,일,8.3,8,136971
2852,Lion House,2023-06-11,일,7.5,8,178162
2853,Hotel Balian Resort Higashi Shinjuku (Adult Only),2023-06-11,일,8.1,8,221261
2854,粋,2023-06-11,일,7.3,7,219652
2855,Hotel QUEEN ANNEX,2023-06-11,일,7.8,8,165208
2856,신주쿠 이스트 호텔 (Shinjuku East Hotel),2023-06-11,일,7.0,7,93868
2857,호텔 타테시나(Hotel Tateshina),2023-06-11,일,6.5,6,107902
2858,HOTEL LiVEMAX Shinjuku Kabukicho-Meijidori,2023-06-11,일,5.1,5,102504
2859,Keio Presso Inn Shinjuku,2023-06-11,일,7.8,8,201066
2860,HOTEL LiVEMAX Shinjuku EAST,2023-06-11,일,6.2,6,102504
2861,레지던스 호텔 윌 신주쿠 (Residence Hotel Will Shinjuku),2023-06-11,일,6.4,6,146435
2862,COCOSHUKU Shinjuku-Hanazono,2023-06-11,일,8.1,8,273720
2863,Hotel BaliAn Resort Shinjuku Glamping,2023-06-11,일,9.0,9,345436
2864,TOKYO E JOY INN（Okubo branch in Shinjuku）,2023-06-11,일,6.7,7,134222
2865,Hotel Yuyukan - Vacation STAY 10008v,2023-06-11,일,6.1,6,102551
2866,Hotel Rose Garden Shinjuku - Vacation STAY 72146v,2023-06-11,일,7.0,7,207806
2867,SHINJUKU WARM HOUSE,2023-06-11,일,8.3,8,281605
2868,HOTEL LiVEMAX Shinjuku Kabukicho,2023-06-11,일,6.3,6,117148
2869,Hotel Koryukaku,2023-06-11,일,5.8,6,124519
2870,SHINJUKU GLOBAL HOTEL,2023-06-11,일,7.6,8,197124
2871,신주쿠 어반 호텔(Shinjuku Urban Hotel),2023-06-11,일,7.6,8,272218
2872,하나비 호텔(Hanabi Hotel),2023-06-11,일,6.8,7,104297
2873,호텔 선라이트 신주쿠(Hotel Sunlite Shinjuku),2023-06-11,일,7.5,8,163894
2874,Hotel Rose Garden Shinjuku - Vacation STAY 72147v,2023-06-11,일,9.7,10,197011
2875,토큐 스테이 니시 신주쿠(Tokyu Stay Nishi Shinjuku),2023-06-11,일,8.0,8,180603
2876,Hotel Keihan Tokyo Yotsuya,2023-06-11,일,8.3,8,142680
2877,GLOU Higashi Shinjuku,2023-06-11,일,8.1,8,129538
2878,Daiwa Roynet Hotel Nishi-Shinjuku PREMIER,2023-06-11,일,8.8,9,235222
2879,호텔 록스(Hotel Rocks),2023-06-11,일,5.5,6,167086
2880,호텔 뉴 쇼헤이(Hotel New Shohei),2023-06-11,일,8.0,8,123953
2881,Tokyo shinjukutei Hotel Asahi gruop 東京新宿亭ホテル,2023-06-11,일,6.7,7,93868
2882,Toyoko Inn Tokyo Shinjuku Kabukicho,2023-06-11,일,7.3,7,79788
2883,Toyoko Inn Tokyo Shinjuku gyoemmae eki 3 ban Deguchi,2023-06-11,일,7.9,8,84482
2884,Hotel Rose Garden Shinjuku - Vacation STAY 72163v,2023-06-11,일,6.2,6,197011
2885,베스트 호텔(Best Hotel),2023-06-11,일,7.9,8,91991
2886,게이오 프라자 호텔 도쿄 프리미어 그랜드 (Keio Plaza Hotel Tokyo Premier Grand),2023-06-11,일,8.9,9,713625
2887,HOTEL GROOVE SHINJUKU A PARKROYAL Hotel,2023-06-11,일,8.7,9,350035
2888,Sakura Cross Hotel Shinjuku East Annex,2023-06-11,일,8.8,9,184165
2889,Kimpton Shinjuku Tokyo an IHG Hotel,2023-06-11,일,8.7,9,718381
2890,힐튼 도쿄 호텔(Hilton Tokyo Hotel),2023-06-11,일,8.3,8,657472
2891,호텔 윙 인터내셔널 프리미엄 도쿄 요츠야 (Hotel Wing International Premium Tokyo Yotsuya),2023-06-11,일,8.3,8,154889
2892,Oakwood Apartments Nishi-Shinjuku,2023-06-11,일,9.0,9,184733
2893,게이오 플라자 호텔 도쿄(Keio Plaza Hotel Tokyo),2023-06-11,일,8.4,8,546220
2894,오다큐 호텔 센츄리 서던 타워(Odakyu Hotel Century Southern Tower),2023-06-11,일,8.7,9,333139
2895,Okubo Hotel Hawaii,2023-06-11,일,7.8,8,84482
2896,Nano North Shinjuku Apartment,2023-06-11,일,6.4,6,131791
2897,도모 호텔 (Domo Hotel),2023-06-11,일,8.4,8,145496
2898,yksi SAUNA & STAY,2023-06-11,일,8.7,9,210725
2899,호텔 엠파이어 인 신주쿠(Hotel Empire in Shinjuku),2023-06-11,일,6.1,6,91991
2900,헌드레드 스테이 도쿄 신주쿠(Hundred Stay Tokyo Shinjuku),2023-06-11,일,8.8,9,330041
2901,Hotel Shu,2023-06-11,일,7.1,7,152067
2902,SHINJUKU WARM VILLA I,2023-06-11,일,7.7,8,194308
2903,Pod Select Hotel Shinjuku,2023-06-11,일,6.8,7,134635
2904,Hotel Yuyukan Center of Kabukicho Shinjuku,2023-06-11,일,6.1,6,126985
2905,Shin-Okubo City Hotel,2023-06-11,일,8.2,8,84482
2906,sequence MIYASHITA PARK - Shibuya,2023-06-12,월,8.3,8,269440
2907,The OneFive Tokyo Shibuya,2023-06-12,월,7.8,8,357466
2908,더 밀레니얼스 시부야(The Millennials Shibuya),2023-06-12,월,8.6,9,297410
2909,시부야 스트림 엑셀 호텔 도큐(Shibuya Stream Excel Hotel Tokyu),2023-06-12,월,8.7,9,155027
2910,all day place shibuya,2023-06-12,월,8.5,8,269440
2911,Hotel Wing International Premium Shibuya,2023-06-12,월,8.0,8,233169
2912,아파 호텔 시부야 도겐자카(APA Hotel Shibuya Dogenzakaue),2023-06-12,월,7.3,7,233169
2913,시부야 호텔 엔(Shibuya Hotel En),2023-06-12,월,7.8,8,297769
2914,시부야 토부 호텔(Shibuya Tobu Hotel),2023-06-12,월,7.9,8,183982
2915,Mustard Hotel Shibuya,2023-06-12,월,7.5,8,297769
2916,토큐 스테이 시부야(Tokyu Stay Shibuya),2023-06-12,월,8.2,8,255346
2917,도미 인 프리미엄 시부야-진구마에(Dormy Inn Premium Shibuya-jingumae),2023-06-12,월,8.3,8,175046
2918,사쿠라 플뤠르 아오야마(Sakura Fleur Aoyama),2023-06-12,월,8.0,8,151926
2919,시부야 그랑벨 호텔(Shibuya Granbell Hotel),2023-06-12,월,7.4,7,151926
2920,시부야 엑셀 호텔 도큐(Shibuya Excel Hotel Tokyu),2023-06-12,월,8.4,8,219577
2921,트렁크 (호텔)(TRUNK (HOTEL)),2023-06-12,월,8.8,9,178618
2922,토큐 스테이 시부야 신미나미구치(Tokyu Stay Shibuya Shin-Minamiguchi),2023-06-12,월,7.9,8,347409
2923,시부야 크레스톤 호텔(Shibuya Creston Hotel),2023-06-12,월,8.0,8,224058
2924,Hotel DIAMOND,2023-06-12,월,7.4,7,219577
2925,SALON Shibuya,2023-06-12,월,7.4,7,183982
2926,Tabist Hotel New Washington Shibuya,2023-06-12,월,6.6,7,187737
2927,The Millennials Shibuya / Vacation STAY 80745,2023-06-12,월,8.0,8,269440
2928,The Millennials Shibuya / Vacation STAY 80776,2023-06-12,월,8.2,8,274939
2929,Cerulean Tower Tokyu Hotel  A Pan Pacific Partner Hotel,2023-06-12,월,8.9,9,175046
2930,Hotel Emit Shibuya - Vacation STAY 40892v,2023-06-12,월,7.3,7,255346
2931,Hotel Emit Shibuya - Vacation STAY 40890v,2023-06-12,월,7.4,7,269440
2932,Hotel Emit Shibuya - Vacation STAY 40888v,2023-06-12,월,4.0,4,191568
2933,신주쿠 그랑벨 호텔(Shinjuku Granbell Hotel),2023-06-12,월,7.8,8,160252
2934,La'gent Hotel Shinjuku Kabukicho,2023-06-12,월,8.4,8,214020
2935,APA Hotel Shinjuku Kabukicho Chuo,2023-06-12,월,7.7,8,128600
2936,호텔 로즈 가든 신주쿠(Hotel Rose Garden Shinjuku),2023-06-12,월,7.9,8,152536
2937,신주쿠 워싱턴 호텔(Shinjuku Washington Hotel),2023-06-12,월,7.1,7,167792
2938,신주쿠 프린스 호텔(Shinjuku Prince Hotel),2023-06-12,월,7.9,8,166485
2939,APA 호텔 신주쿠 교에마에 (APA Hotel Shinjuku Gyoemmae),2023-06-12,월,7.8,8,127661
2940,APA Hotel Higashi Shinjuku Kabukicho Tower,2023-06-12,월,8.0,8,116397
2941,호텔 썬루트 플라자 신주쿠(Hotel Sunroute Plaza Shinjuku),2023-06-12,월,8.3,8,291854
2942,MIMARU TOKYO SHINJUKU WEST,2023-06-12,월,8.9,9,563210
2943,APA 호텔 - 히가시신주쿠 가부키초 히가시(APA Hotel - Higashishinjuku Kabukicho Higashi),2023-06-12,월,7.7,8,127661
2944,E 호텔 히가시 신주쿠(E Hotel Higashi Shinjuku),2023-06-12,월,7.3,7,130477
2945,아파 호텔 히가시-신주쿠-에키마에(APA Hotel Higashi-Shinjuku-Ekimae),2023-06-12,월,7.7,8,125784
2946,Via Inn Shinjuku,2023-06-12,월,8.2,8,140629
2947,시타딘스 센트럴 신주쿠 도쿄 (Citadines Central Shinjuku Tokyo),2023-06-12,월,8.0,8,166894
2948,프리미어 호텔 캐빈 신주쿠(Premier Hotel Cabin Shinjuku),2023-06-12,월,7.7,8,105133
2949,Bespoke Hotel Shinjuku,2023-06-12,월,8.5,8,203882
2950,APA 호텔 신주쿠-가부키쵸 타워(APA Hotel Shinjuku-Kabukicho Tower),2023-06-12,월,7.7,8,127661
2951,Sotetsu Fresa Inn Higashi Shinjuku,2023-06-12,월,8.2,8,156197
2952,도큐 스테이 신주쿠(Tokyu Stay Shinjuku),2023-06-12,월,8.4,8,246498
2953,호텔 & 스파 제이-멕스 신주쿠 가부키초(성인 전용)(HOTEL & SPA J-MEX Shinjuku Kabukicho (Adult Only)),2023-06-12,월,8.7,9,222609
2954,HOTEL MYSTAYS Nishi Shinjuku,2023-06-12,월,7.6,8,151339
2955,HOTEL AMANEK Shinjuku Kabukicho,2023-06-12,월,8.5,8,184419
2956,시타딘 신주쿠 도쿄(Citadines Shinjuku Tokyo),2023-06-12,월,8.6,9,271950
2957,JR Kyushu Hotel Blossom Shinjuku (JR Kyushu Hotel Blossom Shinjuku),2023-06-12,월,8.7,9,282638
2958,Stay SAKURA Tokyo Shinjuku Hyakukura,2023-06-12,월,8.5,8,210265
2959,HOTEL D-WAVE Shinjuku（Adult Only),2023-06-12,월,8.9,9,282356
2960,Book Tea Bed SHINJUKU-GYOEN,2023-06-12,월,7.4,7,281605
2961,Blue Empire Hotel,2023-06-12,월,6.6,7,91991
2962,호텔 페리에(성인 전용)(HOTEL PERRIER (Adult Only)),2023-06-12,월,8.2,8,216273
2963,호텔 안 신주쿠 가부키초 (성인 전용)(HOTEL AN Shinjuku Kabukicho (Adult Only)),2023-06-12,월,8.5,8,181879
2964,호텔 더 호텔(성인 전용)(HOTEL THE HOTEL SHINJUKU (Adult Only)),2023-06-12,월,6.7,7,101209
2965,Hotel Matsunoi,2023-06-12,월,8.4,8,140427
2966,아파트 호텔 신주쿠(Apartment Hotel Shinjuku),2023-06-12,월,7.4,7,127074
2967,니시테츠 인 신주쿠(Nishitetsu Inn Shinjuku),2023-06-12,월,8.3,8,234671
2968,호텔 빌라 폰테인 도쿄-신주쿠(Hotel Villa Fontaine Tokyo-Shinjuku),2023-06-12,월,7.9,8,145121
2969,신주쿠 시티 호텔 N.U.T.S 도쿄(Shinjuku City Hotel N.U.T.S Tokyo),2023-06-12,월,7.7,8,123906
2970,Hotel Petit Bali Garden Shin-Okubo (Adult Only),2023-06-12,월,8.3,8,136971
2971,카도야 호텔(Kadoya Hotel),2023-06-12,월,8.0,8,277595
2972,Lion House,2023-06-12,월,7.5,8,178162
2973,Hotel Balian Resort Higashi Shinjuku (Adult Only),2023-06-12,월,8.1,8,216472
2974,비즈니스 호텔 야마시로(Business Hotel Yamashiro),2023-06-12,월,7.7,8,101378
2975,粋,2023-06-12,월,7.3,7,219652
2976,Hotel QUEEN ANNEX,2023-06-12,월,7.8,8,165208
2977,신주쿠 이스트 호텔 (Shinjuku East Hotel),2023-06-12,월,7.0,7,93868
2978,호텔 타테시나(Hotel Tateshina),2023-06-12,월,6.5,6,107902
2979,HOTEL LiVEMAX Shinjuku Kabukicho-Meijidori,2023-06-12,월,5.1,5,111046
2980,Keio Presso Inn Shinjuku,2023-06-12,월,7.8,8,172342
2981,HOTEL LiVEMAX Shinjuku EAST,2023-06-12,월,6.2,6,111046
2982,레지던스 호텔 윌 신주쿠 (Residence Hotel Will Shinjuku),2023-06-12,월,6.4,6,146435
2983,COCOSHUKU Shinjuku-Hanazono,2023-06-12,월,8.1,8,243307
2984,Hotel BaliAn Resort Shinjuku Glamping,2023-06-12,월,9.0,9,289115
2985,TOKYO E JOY INN（Okubo branch in Shinjuku）,2023-06-12,월,6.7,7,131406
2986,Hotel Yuyukan - Vacation STAY 10008v,2023-06-12,월,6.1,6,102551
2987,Hotel Rose Garden Shinjuku - Vacation STAY 72146v,2023-06-12,월,7.0,7,197011
2988,SHINJUKU WARM HOUSE,2023-06-12,월,8.3,8,305072
2989,HOTEL LiVEMAX Shinjuku Kabukicho,2023-06-12,월,6.3,6,126910
2990,Hotel Koryukaku,2023-06-12,월,5.8,6,100573
2991,SHINJUKU GLOBAL HOTEL,2023-06-12,월,7.6,8,197124
2992,신주쿠 어반 호텔(Shinjuku Urban Hotel),2023-06-12,월,7.6,8,272218
2993,하나비 호텔(Hanabi Hotel),2023-06-12,월,6.8,7,104297
2994,호텔 선라이트 신주쿠(Hotel Sunlite Shinjuku),2023-06-12,월,7.5,8,163894
2995,Hotel Rose Garden Shinjuku - Vacation STAY 72147v,2023-06-12,월,9.7,10,186216
2996,Hotel Keihan Tokyo Yotsuya,2023-06-12,월,8.3,8,142680
2997,GLOU Higashi Shinjuku,2023-06-12,월,8.1,8,129538
2998,Daiwa Roynet Hotel Nishi-Shinjuku PREMIER,2023-06-12,월,8.8,9,210198
2999,ホテルパセラリビング東新宿,2023-06-12,월,8.5,8,303444
3000,호텔 록스(Hotel Rocks),2023-06-12,월,5.5,6,167086
3001,호텔 뉴 쇼헤이(Hotel New Shohei),2023-06-12,월,8.0,8,187737
3002,Tokyo shinjukutei Hotel Asahi gruop 東京新宿亭ホテル,2023-06-12,월,6.7,7,93868
3003,Toyoko Inn Tokyo Shinjuku Kabukicho,2023-06-12,월,7.3,7,79788
3004,Toyoko Inn Tokyo Shinjuku gyoemmae eki 3 ban Deguchi,2023-06-12,월,7.9,8,84482
3005,Hotel Rose Garden Shinjuku - Vacation STAY 72163v,2023-06-12,월,6.2,6,186216
3006,베스트 호텔(Best Hotel),2023-06-12,월,7.9,8,91991
3007,게이오 프라자 호텔 도쿄 프리미어 그랜드 (Keio Plaza Hotel Tokyo Premier Grand),2023-06-12,월,8.9,9,713625
3008,HOTEL GROOVE SHINJUKU A PARKROYAL Hotel,2023-06-12,월,8.7,9,350035
3009,Sakura Cross Hotel Shinjuku East Annex,2023-06-12,월,8.8,9,301599
3010,Kimpton Shinjuku Tokyo an IHG Hotel,2023-06-12,월,8.7,9,675278
3011,호텔 윙 인터내셔널 프리미엄 도쿄 요츠야 (Hotel Wing International Premium Tokyo Yotsuya),2023-06-12,월,8.3,8,126722
3012,Oakwood Apartments Nishi-Shinjuku,2023-06-12,월,9.0,9,168212
3013,게이오 플라자 호텔 도쿄(Keio Plaza Hotel Tokyo),2023-06-12,월,8.4,8,546220
3014,오다큐 호텔 센츄리 서던 타워(Odakyu Hotel Century Southern Tower),2023-06-12,월,8.7,9,333139
3015,Okubo Hotel Hawaii,2023-06-12,월,7.8,8,84482
3016,City Hotel Dolphin,2023-06-12,월,5.1,5,75095
3017,Nano North Shinjuku Apartment,2023-06-12,월,6.4,6,131791
3018,인터내셔널 호텔 가부키초 (International Hotel Kabukicho),2023-06-12,월,6.4,6,75095
3019,도모 호텔 (Domo Hotel),2023-06-12,월,8.4,8,145496
3020,헌드레드 스테이 도쿄 신주쿠(Hundred Stay Tokyo Shinjuku),2023-06-12,월,8.8,9,276536
3021,Hotel Shu,2023-06-12,월,7.1,7,152067
3022,SHINJUKU WARM VILLA I,2023-06-12,월,7.7,8,194308
3023,City Hotel Southern Cross,2023-06-12,월,6.2,6,89175
3024,Pod Select Hotel Shinjuku,2023-06-12,월,6.8,7,134635
3025,Hotel Yuyukan Center of Kabukicho Shinjuku,2023-06-12,월,6.1,6,126985
3026,all day place shibuya,2023-06-13,화,8.5,8,244058
3027,트렁크 (호텔)(TRUNK (HOTEL)),2023-06-13,화,8.8,9,244058
3028,SALON Shibuya,2023-06-13,화,7.4,7,259958
