index,Hotel Name,Date,Day,Hotel Score,Hotel Score Round,Price
65,호텔 더 호텔(성인 전용)(HOTEL THE HOTEL SHINJUKU (Adult Only)),2023-06-01,목,6.7,7,101209
66,Hotel Matsunoi,2023-06-01,목,8.4,8,140427
67,아파트 호텔 신주쿠(Apartment Hotel Shinjuku),2023-06-01,목,7.4,7,127074
68,니시테츠 인 신주쿠(Nishitetsu Inn Shinjuku),2023-06-01,목,8.3,8,300379
69,Tokyu Stay Yotsuya,2023-06-01,목,7.9,8,241617
70,호텔 리스텔 신주쿠(Hotel Listel Shinjuku),2023-06-01,목,7.4,7,112642
71,파크 하얏트 도쿄(Park Hyatt Tokyo),2023-06-01,목,9.2,9,1821138
72,호텔 빌라 폰테인 도쿄-신주쿠(Hotel Villa Fontaine Tokyo-Shinjuku),2023-06-01,목,7.9,8,136672
73,신주쿠 시티 호텔 N.U.T.S 도쿄(Shinjuku City Hotel N.U.T.S Tokyo),2023-06-01,목,7.7,8,136109
74,Hotel Petit Bali Garden Shin-Okubo (Adult Only),2023-06-01,목,8.3,8,136971
75,카도야 호텔(Kadoya Hotel),2023-06-01,목,8.0,8,277595
76,Lion House,2023-06-01,목,7.5,8,178162
77,Hotel Balian Resort Higashi Shinjuku (Adult Only),2023-06-01,목,8.1,8,216472
78,로열 호텔 신오쿠보,2023-06-01,목,7.9,8,168963
79,비즈니스 호텔 야마시로(Business Hotel Yamashiro),2023-06-01,목,7.7,8,84482
80,粋,2023-06-01,목,7.3,7,219652
81,Hotel QUEEN ANNEX,2023-06-01,목,7.8,8,165208
82,Shinokubo guest house,2023-06-01,목,9.2,9,384860
83,더 신-오쿠보 인터내셔널 호텔,2023-06-01,목,6.9,7,112642
84,호텔 시에나(Hotel Siena),2023-06-01,목,6.6,7,134098
85,신주쿠 이스트 호텔 (Shinjuku East Hotel),2023-06-01,목,7.0,7,93868
86,호텔 타테시나(Hotel Tateshina),2023-06-01,목,6.5,6,97112
87,HOTEL LiVEMAX Shinjuku Kabukicho-Meijidori,2023-06-01,목,5.1,5,119588
88,Keio Presso Inn Shinjuku,2023-06-01,목,7.8,8,172342
89,HOTEL LiVEMAX Shinjuku EAST,2023-06-01,목,6.2,6,111046
90,레지던스 호텔 윌 신주쿠 (Residence Hotel Will Shinjuku),2023-06-01,목,6.4,6,146435
91,COCOSHUKU Shinjuku-Hanazono,2023-06-01,목,8.1,8,304134
92,Hotel BaliAn Resort Shinjuku Glamping,2023-06-01,목,9.0,9,289115
93,TOKYO E JOY INN（Okubo branch in Shinjuku）,2023-06-01,목,6.7,7,131406
94,Hotel Yuyukan - Vacation STAY 10008v,2023-06-01,목,6.1,6,102551
95,Hotel Rose Garden Shinjuku - Vacation STAY 72146v,2023-06-01,목,7.0,7,180819
96,SHINJUKU WARM HOUSE,2023-06-01,목,8.3,8,281605
97,634 Condo Shinjuku - Vacation STAY 01910v,2023-06-01,목,8.0,8,518154
98,HOTEL LiVEMAX Shinjuku Kabukicho,2023-06-01,목,6.3,6,136672
99,Hotel Koryukaku,2023-06-01,목,5.8,6,114941
100,SHINJUKU GLOBAL HOTEL,2023-06-01,목,7.6,8,197124
101,신주쿠 어반 호텔(Shinjuku Urban Hotel),2023-06-01,목,7.6,8,244058
102,하나비 호텔(Hanabi Hotel),2023-06-01,목,6.8,7,104297
103,호텔 선라이트 신주쿠(Hotel Sunlite Shinjuku),2023-06-01,목,7.5,8,208146
104,Hotel Rose Garden Shinjuku - Vacation STAY 72147v,2023-06-01,목,9.7,10,170024
105,토큐 스테이 니시 신주쿠(Tokyu Stay Nishi Shinjuku),2023-06-01,목,8.0,8,152536
106,게이오 프라자 호텔 도쿄 프리미어 그랜드 (Keio Plaza Hotel Tokyo Premier Grand),2023-06-01,목,8.9,9,747699
107,Sakura Cross Hotel Shinjuku East Annex,2023-06-01,목,8.8,9,236548
108,힐튼 도쿄 호텔(Hilton Tokyo Hotel),2023-06-01,목,8.3,8,544964
109,호텔 윙 인터내셔널 프리미엄 도쿄 요츠야 (Hotel Wing International Premium Tokyo Yotsuya),2023-06-01,목,8.3,8,132366
110,Oakwood Apartments Nishi-Shinjuku,2023-06-01,목,9.0,9,210265
111,게이오 플라자 호텔 도쿄(Keio Plaza Hotel Tokyo),2023-06-01,목,8.4,8,593718
112,오다큐 호텔 센츄리 서던 타워(Odakyu Hotel Century Southern Tower),2023-06-01,목,8.7,9,571659
113,Okubo Hotel Hawaii,2023-06-01,목,7.8,8,75095
114,City Hotel Dolphin,2023-06-01,목,5.1,5,75095
115,yksi SAUNA & STAY,2023-06-01,목,8.7,9,210725
116,TOKYO ICHIBAN SHINJUKU,2023-06-01,목,8.9,9,272218
117,호텔 엠파이어 인 신주쿠(Hotel Empire in Shinjuku),2023-06-01,목,6.1,6,91991
118,헌드레드 스테이 도쿄 신주쿠(Hundred Stay Tokyo Shinjuku),2023-06-01,목,8.8,9,330041
119,Hotel Shu,2023-06-01,목,7.1,7,150377
120,SHINJUKU WARM VILLA I,2023-06-01,목,7.7,8,194308
121,City Hotel Southern Cross,2023-06-01,목,6.2,6,89175
122,Pod Select Hotel Shinjuku,2023-06-01,목,6.8,7,134635
123,The OneFive Tokyo Shibuya,2023-06-02,금,7.8,8,142774
124,더 밀레니얼스 시부야(The Millennials Shibuya),2023-06-02,금,8.6,9,314271
125,시부야 스트림 엑셀 호텔 도큐(Shibuya Stream Excel Hotel Tokyu),2023-06-02,금,8.7,9,502196
126,all day place shibuya,2023-06-02,금,8.5,8,485769
127,Hotel Wing International Premium Shibuya,2023-06-02,금,8.0,8,250328
128,아파 호텔 시부야 도겐자카(APA Hotel Shibuya Dogenzakaue),2023-06-02,금,7.3,7,256261
129,시부야 호텔 엔(Shibuya Hotel En),2023-06-02,금,7.8,8,252928
130,시부야 토부 호텔(Shibuya Tobu Hotel),2023-06-02,금,7.9,8,172757
131,Mustard Hotel Shibuya,2023-06-02,금,7.5,8,371381
132,토큐 스테이 시부야(Tokyu Stay Shibuya),2023-06-02,금,8.2,8,301411
133,도미 인 프리미엄 시부야-진구마에(Dormy Inn Premium Shibuya-jingumae),2023-06-02,금,8.3,8,325043
134,사쿠라 플뤠르 아오야마(Sakura Fleur Aoyama),2023-06-02,금,8.0,8,201817
135,"Cerulean Tower Tokyu Hotel, A Pan Pacific Partner Hotel",2023-06-02,금,8.9,9,545241
136,시부야 그랑벨 호텔(Shibuya Granbell Hotel),2023-06-02,금,7.4,7,181990
137,시부야 엑셀 호텔 도큐(Shibuya Excel Hotel Tokyu),2023-06-02,금,8.4,8,610145
138,트렁크 (호텔)(TRUNK (HOTEL)),2023-06-02,금,8.8,9,1994891
139,토큐 스테이 시부야 신미나미구치(Tokyu Stay Shibuya Shin-Minamiguchi),2023-06-02,금,7.9,8,341681
140,시부야 크레스톤 호텔(Shibuya Creston Hotel),2023-06-02,금,8.0,8,195246
141,Hotel DIAMOND,2023-06-02,금,7.4,7,307888
142,SALON Shibuya,2023-06-02,금,7.4,7,233592
143,Tabist Hotel New Washington Shibuya,2023-06-02,금,6.6,7,181166
144,The Millennials Shibuya / Vacation STAY 80745,2023-06-02,금,8.0,8,181354
145,The Millennials Shibuya / Vacation STAY 80776,2023-06-02,금,8.2,8,181354
146,Hotel Emit Shibuya - Vacation STAY 40890v,2023-06-02,금,7.4,7,164195
147,Hotel Emit Shibuya - Vacation STAY 40888v,2023-06-02,금,4.0,4,164195
148,신주쿠 그랑벨 호텔(Shinjuku Granbell Hotel),2023-06-02,금,7.8,8,176277
149,La'gent Hotel Shinjuku Kabukicho,2023-06-02,금,8.4,8,251567
150,APA Hotel Shinjuku Kabukicho Chuo,2023-06-02,금,7.7,8,151128
151,호텔 로즈 가든 신주쿠(Hotel Rose Garden Shinjuku),2023-06-02,금,7.9,8,185390
152,신주쿠 프린스 호텔(Shinjuku Prince Hotel),2023-06-02,금,7.9,8,202350
153,APA 호텔 신주쿠 교에마에 (APA Hotel Shinjuku Gyoemmae),2023-06-02,금,7.8,8,172718
154,APA Hotel Higashi Shinjuku Kabukicho Tower,2023-06-02,금,8.0,8,161454
155,호텔 썬루트 플라자 신주쿠(Hotel Sunroute Plaza Shinjuku),2023-06-02,금,8.3,8,313980
156,APA 호텔 & 리조트 니시신주쿠-고초메-에키 타워(APA Hotel & Resort Nishishinjuku-Gochome-Eki Tower),2023-06-02,금,8.2,8,137987
157,더 낫 도쿄 신주쿠(THE KNOT TOKYO Shinjuku),2023-06-02,금,8.4,8,236548
158,Tokyu Stay Shinjuku Eastside,2023-06-02,금,8.8,9,605263
159,HOTEL CEN,2023-06-02,금,8.2,8,190331
160,MIMARU TOKYO SHINJUKU WEST,2023-06-02,금,8.9,9,563210
161,APA 호텔 - 히가시신주쿠 가부키초 히가시(APA Hotel - Higashishinjuku Kabukicho Higashi),2023-06-02,금,7.7,8,183982
162,E 호텔 히가시 신주쿠(E Hotel Higashi Shinjuku),2023-06-02,금,7.3,7,154883
163,아파 호텔 히가시-신주쿠-에키마에(APA Hotel Higashi-Shinjuku-Ekimae),2023-06-02,금,7.7,8,161454
164,Via Inn Shinjuku,2023-06-02,금,8.2,8,144018
