,Hotel Name,Hotel Address,Hotel Score,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730
9,Mustard Hotel Shibuya,150-0011 도쿄 도  Shibuya-ku Higashi 1-29-3 SHIBUYA BRIDGE B  일본,7.5,542610,371381,0,205009,151339,0,301411,251380,205936,321834,379305,297769,0,202727,239077,325536,360659,297769,289152,306386,0,186986,186986,321781,357466,317237,186986,0,0,0,0,306386,354018,0.0,268933.0,289152.0,470108.0,481028.0,315961.0,233169.0,0.0,271918.0,239077.0,234296.0,421281.0,400217.0,267238.0,216062.0,209192.0,287496.0,248939.0,505740.0,358089.0,0.0,0.0,224548.0,0.0,455166.0,455166.0,139653.0
10,토큐 스테이 시부야(Tokyu Stay Shibuya),150-0045 도쿄 도  Shibuya-ku Shinsencho 8-14  일본,8.2,251380,301411,0,308808,331618,0,309278,326437,0,0,242040,255346,0,293961,293961,400856,308425,153193,160853,171952,0,274987,294629,308425,293961,293961,212985,0,0,0,0,305312,216062,0.0,200189.0,249737.0,0.0,0.0,166710.0,347409.0,0.0,293961.0,293961.0,464553.0,502196.0,258731.0,196420.0,190365.0,205009.0,203319.0,288547.0,240226.0,196420.0,0.0,0.0,377238.0,0.0,400856.0,455262.0,196420.0
11,도미 인 프리미엄 시부야-진구마에(Dormy Inn Premium Shibuya-jingumae),150-0001 도쿄 도  Shibuya-ku Jingumae6-24-4  일본,8.3,314096,325043,0,221770,187737,0,309278,214135,0,0,246979,175046,0,239684,249737,455262,333913,153193,213800,209524,0,160853,206510,335772,219652,216062,171855,0,0,0,0,205009,187737,0.0,196185.0,198250.0,0.0,0.0,216062.0,219577.0,0.0,164365.0,249737.0,322344.0,392839.0,328348.0,229882.0,190365.0,255437.0,216062.0,436488.0,339616.0,241951.0,0.0,0.0,193744.0,0.0,300379.0,312957.0,455166.0
12,사쿠라 플뤠르 아오야마(Sakura Fleur Aoyama),150-0002 도쿄 도  Shibuya-ku  Shibuya 2-14-15  일본,8.0,148312,201817,0,303444,331618,0,0,0,378909,0,166710,151926,0,297410,297410,206510,421281,249495,249495,219537,0,233939,168565,322720,224135,221514,221514,0,0,0,0,216062,183832,0.0,0.0,0.0,206510.0,0.0,242040.0,151926.0,0.0,297410.0,297410.0,206510.0,342624.0,202296.0,144463.0,209192.0,172342.0,225397.0,294435.0,299386.0,196420.0,0.0,0.0,452867.0,0.0,417714.0,278226.0,217624.0
13,"Cerulean Tower Tokyu Hotel, A Pan Pacific Partner Hotel",150-8512 도쿄 도  Shibuya-ku  Sakuragaokacho 26-1  일본,8.9,496775,545241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,시부야 그랑벨 호텔(Shibuya Granbell Hotel),150-0031 도쿄 도  Shibuya-ku Sakuragaoka-cho 15-17  일본,7.4,258617,181990,425722,221770,294897,0,268933,254834,210725,0,166710,151926,0,233169,233169,210725,0,249495,249495,215146,0,254579,294629,481028,219652,147412,190802,0,0,353555,331413,205009,183832,0.0,427580.0,210725.0,206510.0,0.0,242040.0,151926.0,0.0,233169.0,233169.0,206510.0,411632.0,198250.0,147412.0,205009.0,205009.0,207468.0,263958.0,502196.0,217624.0,0.0,0.0,241951.0,0.0,294629.0,455262.0,196420.0
15,시부야 엑셀 호텔 도큐(Shibuya Excel Hotel Tokyu),150-0043 도쿄 도  Shibuya-ku  Dogenzaka 1-12-2  일본,8.4,553824,610145,368621,200189,282870,0,205684,182480,378909,324785,173657,219577,0,216062,175722,294629,302256,216062,209524,168513,0,274987,210725,353555,168513,216062,235704,0,0,324785,324785,299206,186986,0.0,205684.0,202296.0,378909.0,324785.0,166710.0,445396.0,0.0,216062.0,179308.0,455262.0,403399.0,512445.0,203319.0,170290.0,250328.0,250328.0,300379.0,278789.0,213119.0,0.0,0.0,237112.0,0.0,220553.0,201817.0,193744.0
16,트렁크 (호텔)(TRUNK (HOTEL)),150-0001 도쿄 도  5-31 Jingumae  Shibuya-Ku  일본,8.8,2106607,1994891,368621,297375,221770,0,254834,289152,460706,0,177201,178618,244058,244575,216062,322344,333913,0,347409,294629,0,164136,222066,236548,216062,144463,320685,533134,609397,481028,549130,303444,190802,0.0,314271.0,240251.0,322263.0,0.0,464553.0,219577.0,244058.0,161078.0,216062.0,294629.0,295015.0,502196.0,225284.0,255437.0,250328.0,255437.0,436488.0,278789.0,217468.0,352006.0,359190.0,436488.0,0.0,225054.0,205936.0,379153.0
17,토큐 스테이 시부야 신미나미구치(Tokyu Stay Shibuya Shin-Minamiguchi),150-0002 도쿄 도  Shibuya-ku Shibuya 3-26-21  일본,7.9,339240,341681,376144,723170,183832,0,205684,240251,460706,324785,216062,347409,0,161078,179308,455262,502196,177201,255346,400856,0,147073,217624,231817,160831,183381,208726,0,0,560337,481028,299206,219010,0.0,196185.0,314271.0,328840.0,324785.0,455262.0,255346.0,0.0,239684.0,175722.0,294629.0,403399.0,212875.0,207468.0,205009.0,216062.0,293961.0,288547.0,502196.0,237112.0,0.0,0.0,197698.0,0.0,294629.0,286996.0,217624.0
18,시부야 크레스톤 호텔(Shibuya Creston Hotel),150-0047 도쿄 도  Shibuya-ku  Kamiyama-cho 10-8  일본,8.0,195246,195246,324785,196185,187584,348079,249737,186204,206510,481028,293961,224058,0,216062,216062,328923,353445,293961,164136,213800,0,254579,400856,342624,171952,187124,186986,470224,512972,376144,368621,216062,293961,348079.0,209882.0,240251.0,352533.0,321834.0,216062.0,436488.0,0.0,216062.0,216062.0,328923.0,392839.0,321781.0,0.0,0.0,216062.0,216062.0,445396.0,346547.0,237112.0,0.0,505200.0,445396.0,404160.0,306509.0,319344.0,379153.0
