Hotel Name,mean_price,Time_Cost_NRT,Money_Cost_NRT,Time_Walk_NRT,Time_Cost_HND,Money_Cost_HND,Time_Walk_HND
Super Hotel Premier Akasaka,209147.0,84.0,26577.0,11.0,41.0,7935.0,15.0
더 낫 도쿄 신주쿠(THE KNOT TOKYO Shinjuku),213296.0,88.0,28680.0,7.0,58.0,14531.0,2.0
시타딘스 센트럴 신주쿠 도쿄 (Citadines Central Shinjuku Tokyo),199050.0,83.0,26577.0,12.0,55.0,12428.0,5.0
Via Inn Prime Akasaka,359084.0,83.0,26577.0,12.0,40.0,7935.0,17.0
HOTEL HILLARYS Akasaka,234012.0,85.0,26577.0,12.0,42.0,7935.0,17.0
시타딘 신주쿠 도쿄(Citadines Shinjuku Tokyo),331279.0,81.0,26577.0,12.0,55.0,12428.0,5.0
신주쿠 워싱턴 호텔(Shinjuku Washington Hotel),214958.0,85.0,26577.0,14.0,60.0,12428.0,1.0
APA 호텔 신주쿠 교에마에 (APA Hotel Shinjuku Gyoemmae),347824.0,85.0,26577.0,14.0,65.0,13384.0,1.0
JR Kyushu Hotel Blossom Shinjuku (JR Kyushu Hotel Blossom Shinjuku),402911.0,80.0,26577.0,8.0,49.0,12428.0,4.0
호텔 몬토레 아카사카(Hotel Monterey Akasaka),186706.0,91.0,31070.0,11.0,44.0,7935.0,18.0
Hotel Villa Fontaine Grand Tokyo-Roppongi,189552.0,89.0,31070.0,13.0,43.0,5640.0,7.0
호텔 썬루트 플라자 신주쿠(Hotel Sunroute Plaza Shinjuku),502976.0,87.0,31070.0,5.0,49.0,12428.0,4.0
센츄리온 호텔 그랜드 아카사카미츠케 스테이션(Centurion Hotel Grand Akasakamitsuke Station),552744.0,86.0,31070.0,6.0,39.0,7935.0,13.0
더 센츄리온 클래식 아카사카(The Centurion Classic Akasaka),528347.0,82.0,31070.0,11.0,41.0,7935.0,15.0
OMO3 Tokyo Akasaka by Hoshino Resort,486393.0,95.0,32695.0,12.0,34.0,2677.0,7.0
소테츠 프레사 인 도쿄 롯폰기(Sotetsu Fresa Inn Tokyo Roppongi),507704.0,92.0,13480.0,8.0,48.0,4493.0,7.0
HOTEL SUI AKASAKA by ABEST,314229.0,83.0,31070.0,12.0,51.0,5640.0,16.0
APA 빌라 호텔 아카사카-미츠케(APA Villa Hotel Akasaka-Mitsuke),689111.0,86.0,31070.0,6.0,47.0,5640.0,10.0
Oakwood Hotel & Apartments Azabu Tokyo,454304.0,91.0,13480.0,11.0,45.0,5067.0,5.0
니시테츠 인 신주쿠(Nishitetsu Inn Shinjuku),444381.0,98.0,31357.0,6.0,56.0,14436.0,6.0
Hotel New Otani Tokyo The Main,338915.0,87.0,31070.0,14.0,60.0,6214.0,14.0
the b sangenjaya,588736.0,98.0,32791.0,6.0,58.0,6310.0,8.0
호텔 리스텔 신주쿠(Hotel Listel Shinjuku),518237.0,90.0,13480.0,12.0,69.0,14436.0,7.0
Via Inn Shinjuku,480413.0,86.0,13480.0,8.0,58.0,14149.0,8.0
