Hotel Name,Hotel Address,Hotel Score,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,Time_Cost_NRT,Money_Cost_NRT,Time_Walk_NRT,Time_Cost_HND,Money_Cost_HND,Time_Walk_HND
토큐 스테이 시부야(Tokyu Stay Shibuya),150-0045 도쿄 도  Shibuya-ku Shinsencho 8-14  일본,8.2,251380,301411,0,308808,331618,0,309278,326437,0,0,242040,255346,0,293961,293961,400856,308425,153193,160853,171952,0,274987,294629,308425,293961,293961,212985,0,0,0,0,305312,216062,0,200189,249737,0,0,166710,347409,0,293961,293961,464553,502196,258731,196420,190365,205009,203319,288547,240226,196420,0,0,377238,0,400856,455262,196420,88,33173,6,62,10516,8
도미 인 프리미엄 시부야-진구마에(Dormy Inn Premium Shibuya-jingumae),150-0001 도쿄 도  Shibuya-ku Jingumae6-24-4  일본,8.3,314096,325043,0,221770,187737,0,309278,214135,0,0,246979,175046,0,239684,249737,455262,333913,153193,213800,209524,0,160853,206510,335772,219652,216062,171855,0,0,0,0,205009,187737,0,196185,198250,0,0,216062,219577,0,164365,249737,322344,392839,328348,229882,190365,255437,216062,436488,339616,241951,0,0,193744,0,300379,312957,455166,89,26577,14,54,4589,14
사쿠라 플뤠르 아오야마(Sakura Fleur Aoyama),150-0002 도쿄 도  Shibuya-ku  Shibuya 2-14-15  일본,8.0,148312,201817,0,303444,331618,0,0,0,378909,0,166710,151926,0,297410,297410,206510,421281,249495,249495,219537,0,233939,168565,322720,224135,221514,221514,0,0,0,0,216062,183832,0,0,0,206510,0,242040,151926,0,297410,297410,206510,342624,202296,144463,209192,172342,225397,294435,299386,196420,0,0,452867,0,417714,278226,217624,84,31070,8,51,4589,11
"Cerulean Tower Tokyu Hotel, A Pan Pacific Partner Hotel",150-8512 도쿄 도  Shibuya-ku  Sakuragaokacho 26-1  일본,8.9,496775,545241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,31070,6,54,10516,1
시부야 그랑벨 호텔(Shibuya Granbell Hotel),150-0031 도쿄 도  Shibuya-ku Sakuragaoka-cho 15-17  일본,7.4,258617,181990,425722,221770,294897,0,268933,254834,210725,0,166710,151926,0,233169,233169,210725,0,249495,249495,215146,0,254579,294629,481028,219652,147412,190802,0,0,353555,331413,205009,183832,0,427580,210725,206510,0,242040,151926,0,233169,233169,206510,411632,198250,147412,205009,205009,207468,263958,502196,217624,0,0,241951,0,294629,455262,196420,83,31070,7,57,10516,3
시부야 엑셀 호텔 도큐(Shibuya Excel Hotel Tokyu),150-0043 도쿄 도  Shibuya-ku  Dogenzaka 1-12-2  일본,8.4,553824,610145,368621,200189,282870,0,205684,182480,378909,324785,173657,219577,0,216062,175722,294629,302256,216062,209524,168513,0,274987,210725,353555,168513,216062,235704,0,0,324785,324785,299206,186986,0,205684,202296,378909,324785,166710,445396,0,216062,179308,455262,403399,512445,203319,170290,250328,250328,300379,278789,213119,0,0,237112,0,220553,201817,193744,83,31070,7,54,10516,5
트렁크 (호텔)(TRUNK (HOTEL)),150-0001 도쿄 도  5-31 Jingumae  Shibuya-Ku  일본,8.8,2106607,1994891,368621,297375,221770,0,254834,289152,460706,0,177201,178618,244058,244575,216062,322344,333913,0,347409,294629,0,164136,222066,236548,216062,144463,320685,533134,609397,481028,549130,303444,190802,0,314271,240251,322263,0,464553,219577,244058,161078,216062,294629,295015,502196,225284,255437,250328,255437,436488,278789,217468,352006,359190,436488,0,225054,205936,379153,90,26577,14,54,4589,14
토큐 스테이 시부야 신미나미구치(Tokyu Stay Shibuya Shin-Minamiguchi),150-0002 도쿄 도  Shibuya-ku Shibuya 3-26-21  일본,7.9,339240,341681,376144,723170,183832,0,205684,240251,460706,324785,216062,347409,0,161078,179308,455262,502196,177201,255346,400856,0,147073,217624,231817,160831,183381,208726,0,0,560337,481028,299206,219010,0,196185,314271,328840,324785,455262,255346,0,239684,175722,294629,403399,212875,207468,205009,216062,293961,288547,502196,237112,0,0,197698,0,294629,286996,217624,79,31070,3,52,7648,13
시부야 크레스톤 호텔(Shibuya Creston Hotel),150-0047 도쿄 도  Shibuya-ku  Kamiyama-cho 10-8  일본,8.0,195246,195246,324785,196185,187584,348079,249737,186204,206510,481028,293961,224058,0,216062,216062,328923,353445,293961,164136,213800,0,254579,400856,342624,171952,187124,186986,470224,512972,376144,368621,216062,293961,348079,209882,240251,352533,321834,216062,436488,0,216062,216062,328923,392839,321781,0,0,216062,216062,445396,346547,237112,0,505200,445396,404160,306509,319344,379153,90,33173,6,66,10516,9
Hotel DIAMOND,150-0043 도쿄 도  渋谷区道玄坂2-28-9  일본,7.4,265648,307888,549130,305312,183832,0,209882,182480,470108,353555,216062,219577,0,164365,249737,322344,454304,216062,209524,168513,0,374133,217624,335772,168513,183381,208726,0,0,368621,376144,297375,216062,0,205684,249737,345483,353555,170113,436488,0,244575,249737,322344,289115,321781,225284,250328,426239,250328,300379,284479,213119,0,0,436488,0,220553,312957,193744,89,26577,11,55,10516,6
SALON Shibuya,150-0042 도쿄 도  Shibuya-ku  Udagawa-cho  42-12  일본,7.4,209514,233592,417207,299206,216062,0,314271,240251,217624,549130,187737,183982,259958,417714,417714,220778,0,445396,436488,436488,341118,0,0,560337,0,426239,0,470224,512972,331413,549130,196185,214630,0,481804,314271,217624,549130,173657,175046,259958,417714,417714,220778,339616,403399,436488,436488,0,254019,240226,205936,0,422983,505200,280073,412408,308746,0,280973,87,26577,9,49,4589,9
Tabist Hotel New Washington Shibuya,150-0047 도쿄 도  Shibuya-ku Kamiyamacho 6-2  일본,6.6,168963,181166,417207,208617,216062,0,314271,306442,222066,331413,187737,187737,0,417714,175722,294629,502196,173657,445396,436488,0,464553,322470,353555,417714,208726,417714,0,0,324785,324785,196185,169149,0,502196,427580,322263,331413,173657,178618,0,417714,426239,455262,289115,403399,436488,436488,178435,436488,400856,439074,275354,0,0,275354,0,315047,201817,417714,89,33173,5,61,12619,3
The Millennials Shibuya / Vacation STAY 80745,150-0041 도쿄 도  Jinnan 1-20-13 The Millennials Shibuya  일본,8.0,159764,181354,435643,287500,331618,348079,512445,202296,345483,560337,384729,269440,331618,352344,404160,404160,446976,378909,290166,341981,287237,331618,338386,523441,386642,281605,338386,470224,512972,231855,307888,353640,331618,348079,204346,512445,314271,560337,384729,269440,331618,352344,404160,404160,641215,654301,269996,335091,314593,281605,438193,697921,232640,268792,505200,281605,412408,326437,489744,255782,88,26577,10,50,4589,10
The Millennials Shibuya / Vacation STAY 80776,150-0041 도쿄 도  Jinnan 1-20-13 The Millennials Shibuya  일본,8.2,159764,181354,435643,360857,331618,341118,427477,326437,328840,549130,392581,274939,331618,359535,404160,404160,512972,378909,290166,348961,348079,331618,331618,512972,378909,281605,331618,479821,523441,231855,307888,360857,331618,341118,427477,326437,512445,549130,392581,274939,331618,359535,404160,404160,654301,641215,264596,328389,308301,281605,429429,683963,227988,268792,515510,281605,404160,333099,479949,250666,88,26577,10,50,4589,10
Prince Smart Inn Ebisu,150-0022 도쿄 도  Shibuya-ku Ebisuminami 3-11-25   일본,8.0,0,0,643669,0,0,0,0,0,0,332064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314172,236587,0,0,0,0,0,0,332064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,27246,8,45,4493,8
도미 인 익스프레스 메구로 아오바다이 핫 스프링(Dormy Inn Express Meguro Aobadai Hot Spring),153-0042 도쿄 도  Meguro-ku Aobadai 3-21-8  일본,8.2,0,0,630796,0,0,0,0,0,0,325423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307888,231855,0,0,0,0,0,0,325423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,33173,3,63,12619,3
토큐 스테이 아오야마 프리미어(Tokyu Stay Aoyama Premier),107-0062 도쿄 도  Minato-ku  Minamiaoyama 2-27-18  일본,8.2,0,0,0,0,0,0,0,0,0,1249982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598467,598467,0,0,0,0,0,0,1249982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,26577,9,53,5640,10
THE AOYAMA GRAND HOTEL,107-0061 도쿄 도  Minato-ku Kitaaoyama 2-14-4  일본,9.2,0,0,598467,0,0,0,0,0,0,555720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425722,425722,0,0,0,0,0,0,555720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,26577,9,53,5640,10
Act Hotel Shibuya,153-0044 도쿄 도  Meguro-ku Ohashi 2-22-7  일본,8.2,0,0,6726341,0,0,0,0,0,0,325423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307888,231855,0,0,0,0,0,0,325423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,27915,7,53,5927,7
Olympic Inn Shibuya,153-0044 도쿄 도  Oohashi2-22-6  일본,6.9,0,0,598467,0,0,0,0,0,0,555720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598467,598467,0,0,0,0,0,0,555720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,27915,9,55,5927,9
remm Roppongi,106-0032 도쿄 도  Minato-ku Roppongi 7-14-4  일본,8.5,0,0,1378739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649194,460434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,26577,13,50,4493,8
아파 호텔 롯폰기 에키마에(APA Hotel Roppongi Ekimae),106-0032 도쿄 도  MInato-ku  Roppongi 6-7-8  일본,7.6,0,0,149423,0,0,0,0,0,0,597693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466338,451225,0,0,0,0,0,0,848168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,26577,10,49,4493,7
